brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
hyundai,verna,manual,8,petrol,1591,62485,,445000,,17.1,121.3,5,
hyundai,i10,manual,11,petrol,1197,45000,,190000,,20.36,78.9,5,
toyota,innova,manual,11,diesel,2494,120000,,511000,,12.8,102,7,
honda,city,manual,4,diesel,1498,72000,,850000,,25.1,98.6,5,
ford,ecosport,automatic,5,petrol,1499,35000,,721000,,16.05,110.4,5,
hyundai,i10,manual,12,petrol,1086,52000,,190000,,19.81,68.05,5,
honda,city,manual,6,diesel,1498,69000,,601000,,24.1,103.56,5,
hyundai,verna,automatic,8,petrol,1591,64001,,449000,,17.01,121.4,5,
maruti,swift,manual,4,petrol,1197,40000,,515000,,22,81.8,5,
hyundai,grand,manual,7,petrol,1197,29000,,385000,,18.9,81.86,5,
honda,city,automatic,4,petrol,1497,40000,,940000,,18,117.3,5,
hyundai,grand,manual,3,cng,1197,41000,,470000,,18.9,65.39,5,
volkswagen,polo,manual,9,diesel,1199,62000,,225000,,22.07,73.9,5,
maruti,vitara,manual,4,diesel,1248,57000,,825000,,24.3,88.5,5,
audi,a4,automatic,5,petrol,1798,29000,,1890000,,15.64,167.62,5,
maruti,swift,manual,6,diesel,1248,52000,,415000,,25.2,74,5,
mercedes-benz,c-class,automatic,10,petrol,1796,67000,,950000,,11.74,186,5,
volkswagen,vento,manual,10,diesel,1598,90000,,350000,,20.54,103.6,5,
hyundai,i10,manual,8,petrol,1086,20000,,300000,,19.81,68.05,5,
volkswagen,polo,manual,8,petrol,1198,46000,,365000,,16.47,73.9,5,
toyota,innova,manual,7,diesel,2494,34000,,825000,,12.99,100.6,7,
tata,harrier,manual,1,diesel,1956,5125,,1650000,,17,167.67,5,
hyundai,creta,manual,5,diesel,1582,52000,,950000,,19.67,126.2,5,
renault,kwid,manual,4,petrol,799,36000,,320000,,25.17,53.3,5,
volkswagen,vento,automatic,7,diesel,1498,74832,,373000,,21.21,103.2,5,
honda,amaze,manual,7,diesel,1498,60000,,342000,,25.8,98.6,5,
maruti,wagon r,manual,3,cng,998,38000,,415000,,26.6,58.16,5,
maruti,alto,automatic,5,petrol,998,35286,,331000,,23.95,67.05,5,
maruti,baleno,manual,4,diesel,1248,58000,,600000,,27.39,74,5,
audi,q7,automatic,2,diesel,2967,14000,,6645000,,14.75,245,7,
hyundai,i20,manual,5,petrol,1197,40000,,500000,,18.6,81.83,5,
toyota,camry,automatic,7,petrol,2494,53000,,1099000,,12.98,178.3,5,
maruti,swift dzire,manual,9,diesel,1248,120000,,325000,,19.3,73.9,5,
hyundai,verna,manual,9,diesel,1582,72545,,425000,,22.32,126.32,5,
hyundai,i10,manual,10,petrol,1197,58000,,210000,,20.36,78.9,5,
toyota,camry,automatic,5,petrol,2487,75000,,2100000,,19.16,214.5,5,
hyundai,grand,manual,7,petrol,1197,65000,,399000,,18.9,82,5,
honda,amaze,manual,8,diesel,1498,75000,,350000,,25.8,98.6,5,
maruti,celerio,manual,5,petrol,998,12957,,400000,,23.1,67.04,5,
mercedes-benz,gl-class,automatic,7,diesel,2987,90000,,3200000,,12,224,7,
maruti,swift,manual,5,petrol,1197,28000,,440000,,20.4,83.11,5,
honda,amaze,manual,6,diesel,1498,15000,,525000,,25.8,98.6,5,
honda,city,manual,6,petrol,1497,40212,,650000,,17.8,117.3,5,
maruti,ertiga,manual,4,petrol,1462,45000,,745000,,19.34,103,7,
renault,kwid,manual,2,petrol,999,14000,,390000,,23.01,67,5,
maruti,swift dzire,automatic,3,diesel,1248,70000,,725000,,28.4,74.02,5,
maruti,baleno,automatic,5,petrol,1197,60000,,625000,,21.4,83.1,5,
bmw,3,automatic,8,diesel,1995,75000,,1100000,,18.88,184,5,
hyundai,santro,manual,13,petrol,1086,56000,,120000,,17.92,62.1,5,
hyundai,verna,manual,8,petrol,1591,74000,,425000,,17.01,121.3,5,
audi,q7,automatic,8,diesel,2967,55000,,2100000,,12.07,241.4,7,
maruti,swift,manual,5,petrol,1197,28000,,425000,,22,81.8,5,
toyota,fortuner,automatic,7,diesel,2982,46000,,1625000,,12.55,168.5,7,
maruti,swift,manual,9,diesel,1248,85000,,280000,,22.9,74,5,
mahindra,xuv500,manual,6,diesel,2179,97000,,850000,,15.1,140,7,
hyundai,creta,automatic,6,diesel,1582,40000,,930000,,17.01,126.2,5,
mahindra,scorpio,manual,11,diesel,2523,120000,,200000,,14,75,7,
maruti,baleno,manual,3,petrol,1197,21000,,625000,,21.01,81.8,5,
bmw,3,automatic,5,diesel,1995,29000,,2450000,,21.76,188,5,
land rover,rover,automatic,3,diesel,2993,38000,,3990000,,18,255,7,
jaguar,xf,automatic,6,diesel,2179,50000,,2400000,,16.36,187.7,5,
honda,amaze,manual,3,petrol,1198,40200,,650000,,17.8,86.7,5,
hyundai,creta,manual,5,diesel,1396,110000,,720000,,21.38,88.7,5,
maruti,swift,manual,8,diesel,1248,100000,,320000,,22.9,74,5,
hyundai,grand,manual,5,diesel,1120,38000,,410000,,24,70,5,
honda,jazz,manual,4,petrol,1199,57812,,595000,,18.2,88.7,5,
maruti,alto,manual,7,petrol,796,58001,,215000,,22.74,47.3,5,
hyundai,grand,manual,4,petrol,1197,1010,,500000,,18.9,81.86,5,
hyundai,grand,manual,5,petrol,1197,45000,,420000,,18.9,82,5,
hyundai,i20,manual,6,diesel,1396,90000,,500000,,22.54,88.73,5,
tata,tigor,automatic,3,petrol,1199,16000,,545000,,20.3,84,5,
maruti,swift dzire,manual,5,petrol,1197,35600,,465000,,22,81.8,5,
maruti,swift,manual,9,diesel,1248,30000,,325000,,22.9,74,5,
maruti,alto,manual,7,petrol,998,40000,,235000,,23.95,67.05,5,
